P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	-0.2742277557619615	0.6080451367032025	1.0219298245614035	21486.0	1487.0	1822.0	160.0	62.0	2385.0	165.0	96.0	398.0	1572.0	78.0	130.0	64.0	88.0	7.0
1	3	2	-13.05324117426938	1.0	0.494692144373673	21486.0	1822.0	1487.0	160.0	62.0	2385.0	398.0	130.0	165.0	1572.0	64.0	96.0	78.0	88.0	7.0
2	1	3	0.2801124715508448	0.38969567340546063	0.9794238683127572	21486.0	1487.0	2385.0	165.0	96.0	1822.0	160.0	62.0	398.0	1572.0	78.0	130.0	88.0	64.0	7.0
1	2	4	0.3983087021414396	0.3452013732850432	0.9727626459143969	21446.0	1527.0	1812.0	162.0	70.0	2398.0	155.0	93.0	405.0	1565.0	78.0	128.0	69.0	84.0	8.0
1	4	2	-13.827002088624242	1.0	0.5070993914807302	21446.0	1812.0	1527.0	162.0	70.0	2398.0	405.0	128.0	155.0	1565.0	69.0	93.0	78.0	84.0	8.0
2	1	4	-0.38715605848147916	0.6506796063976568	1.0296610169491525	21446.0	1527.0	2398.0	155.0	93.0	1812.0	162.0	70.0	405.0	1565.0	78.0	128.0	84.0	69.0	8.0
1	2	5	0.5899596017944999	0.27760882265668263	0.9610894941634242	21488.0	1485.0	1813.0	154.0	77.0	2411.0	144.0	91.0	391.0	1573.0	84.0	132.0	65.0	86.0	6.0
1	5	2	-13.982042562529625	1.0	0.5103305785123967	21488.0	1813.0	1485.0	154.0	77.0	2411.0	391.0	132.0	144.0	1573.0	65.0	91.0	84.0	86.0	6.0
2	1	5	-0.5660745976732652	0.714328499015519	1.0440528634361232	21488.0	1485.0	2411.0	144.0	91.0	1813.0	154.0	77.0	391.0	1573.0	84.0	132.0	86.0	65.0	6.0
1	2	6	-0.05974121748652085	0.5238191977161588	1.003875968992248	21521.0	1452.0	1831.0	139.0	74.0	2411.0	140.0	95.0	399.0	1569.0	80.0	125.0	64.0	89.0	11.0
