P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	-0.270799765268107	0.6067274171490584	9.0	5280.0	699.0	744.0	155.0	71.0	1566.0	163.0	114.0	172.0	662.0	76.0	131.0	58.0	98.0	11.0
1	3	2	-0.5754495011947285	0.7175063713389833	0.3461538461538462	5280.0	744.0	699.0	155.0	71.0	1566.0	172.0	131.0	163.0	662.0	58.0	114.0	76.0	98.0	11.0
2	1	3	0.5115106677286457	0.30449675267190546	0.68	5280.0	699.0	1566.0	163.0	114.0	744.0	155.0	71.0	172.0	662.0	76.0	131.0	98.0	58.0	11.0
1	2	4	1.326601481900634	0.09232033844713128	0.9359430604982206	5450.0	529.0	821.0	106.0	43.0	1658.0	88.0	97.0	351.0	509.0	50.0	163.0	44.0	84.0	7.0
1	4	2	-18.056520170314194	1.0	0.5177165354330708	5450.0	821.0	529.0	106.0	43.0	1658.0	351.0	163.0	88.0	509.0	44.0	97.0	50.0	84.0	7.0
2	1	4	-1.235807464127967	0.891734862146819	1.079295154185022	5450.0	529.0	1658.0	88.0	97.0	821.0	106.0	43.0	351.0	509.0	50.0	163.0	84.0	44.0	7.0
1	2	5	0.7713952200451579	0.2202362884406941	0.9588014981273408	5466.0	513.0	800.0	111.0	59.0	1650.0	100.0	93.0	356.0	499.0	55.0	163.0	49.0	78.0	8.0
1	5	2	-17.181075355551236	1.0	0.5109780439121757	5466.0	800.0	513.0	111.0	59.0	1650.0	356.0	163.0	100.0	499.0	49.0	93.0	55.0	78.0	8.0
2	1	5	-0.7382493316838424	0.7698185937164805	1.047008547008547	5466.0	513.0	1650.0	100.0	93.0	800.0	111.0	59.0	356.0	499.0	55.0	163.0	78.0	49.0	8.0
1	2	6	0.7681754436762267	0.22119141442765877	0.9576923076923077	5453.0	526.0	803.0	112.0	55.0	1653.0	101.0	89.0	350.0	507.0	53.0	162.0	48.0	78.0	10.0
1	6	2	-16.62052323590381	1.0	0.51129363449692	5453.0	803.0	526.0	112.0	55.0	1653.0	350.0	162.0	101.0	507.0	48.0	89.0	53.0	78.0	10.0
2	1	6	-0.7342399823090039	0.7685988242707869	1.0484581497797356	5453.0	526.0	1653.0	101.0	89.0	803.0	112.0	55.0	350.0	507.0	53.0	162.0	78.0	48.0	10.0
1	2	7	0.8439738203207968	0.1993419691144377	0.9571428571428572	5487.0	492.0	817.0	111.0	42.0	1667.0	99.0	77.0	367.0	503.0	40.0	178.0	40.0	69.0	11.0
1	7	2	-18.004774833510314	1.0	0.5114503816793893	5487.0	817.0	492.0	111.0	42.0	1667.0	367.0	178.0	99.0	503.0	40.0	77.0	40.0	69.0	11.0
