P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	1.08716779320321	0.13848137125787974	0.9522451888809693	44588.0	7947.0	9395.0	2024.0	1053.0	14358.0	1957.0	1489.0	3293.0	7951.0	1142.0	2006.0	1005.0	1543.0	249.0
1	3	2	-20.591282530968353	1.0	0.5128598848368523	44588.0	9395.0	7947.0	2024.0	1053.0	14358.0	3293.0	2006.0	1957.0	7951.0	1005.0	1489.0	1142.0	1543.0	249.0
2	1	3	-1.0326466538734087	0.849115334441743	1.0557404326123128	44588.0	7947.0	14358.0	1957.0	1489.0	9395.0	2024.0	1053.0	3293.0	7951.0	1142.0	2006.0	1543.0	1005.0	249.0
1	2	4	0.9543746151377658	0.16994701741732376	0.9586545199719692	44657.0	7878.0	9389.0	2020.0	1063.0	14329.0	1961.0	1514.0	3329.0	7932.0	1125.0	1978.0	1029.0	1535.0	261.0
1	4	2	-21.174175783310762	1.0	0.5110197982816586	44657.0	9389.0	7878.0	2020.0	1063.0	14329.0	3329.0	1978.0	1961.0	7932.0	1029.0	1514.0	1125.0	1535.0	261.0
2	1	4	-0.9132137216486367	0.8194349499132196	1.0472	44657.0	7878.0	14329.0	1961.0	1514.0	9389.0	2020.0	1063.0	3329.0	7932.0	1125.0	1978.0	1535.0	1029.0	261.0
1	2	5	1.1485187631802947	0.1253772921806383	0.9488472622478387	44674.0	7861.0	9344.0	2045.0	1083.0	14318.0	1974.0	1512.0	3291.0	7950.0	1145.0	1996.0	1043.0	1522.0	242.0
1	5	2	-20.155695477783798	1.0	0.5138509559110417	44674.0	9344.0	7861.0	2045.0	1083.0	14318.0	3291.0	1996.0	1974.0	7950.0	1043.0	1512.0	1145.0	1522.0	242.0
2	1	5	-1.0866016544591097	0.8613935128964217	1.0604255319148936	44674.0	7861.0	14318.0	1974.0	1512.0	9344.0	2045.0	1083.0	3291.0	7950.0	1145.0	1996.0	1522.0	1043.0	242.0
1	2	6	-0.7911125002574236	0.7855608891864541	1.0413625304136254	44751.0	7784.0	9438.0	1968.0	1066.0	14281.0	2019.0	1504.0	3303.0	8029.0	1054.0	1979.0	1060.0	1502.0	262.0
1	6	2	-20.708533094973742	1.0	0.49026345933562426	44751.0	9438.0	7784.0	1968.0	1066.0	14281.0	3303.0	1979.0	2019.0	8029.0	1060.0	1504.0	1054.0	1502.0	262.0
2	1	6	0.8225351930246578	0.20538612824382052	0.9632034632034632	44751.0	7784.0	14281.0	2019.0	1504.0	9438.0	1968.0	1066.0	3303.0	8029.0	1054.0	1979.0	1502.0	1060.0	262.0
1	2	7	-0.31010397144143936	0.6217589849848386	1.0163265306122449	44578.0	7957.0	9402.0	2036.0	1034.0	14256.0	2056.0	1492.0	3301.0	8008.0	1077.0	1998.0	1031.0	1515.0	259.0
1	7	2	-19.614076193670822	1.0	0.49601593625498	44578.0	9402.0	7957.0	2036.0	1034.0	14256.0	3301.0	1998.0	2056.0	8008.0	1031.0	1492.0	1077.0	1515.0	259.0
2	1	7	0.3150855613441131	0.37634841442441647	0.9844357976653697	44578.0	7957.0	14256.0	2056.0	1492.0	9402.0	2036.0	1034.0	3301.0	8008.0	1077.0	1998.0	1515.0	1031.0	259.0
1	2	8	-0.3651577206625145	0.6425031003301961	1.0092631578947369	45340.0	7195.0	9704.0	1787.0	981.0	14678.0	1809.0	1317.0	4206.0	7169.0	1011.0	2270.0	930.0	1354.0	249.0
1	8	2	-40.150751194665034	1.0	0.4977159468438538	45340.0	9704.0	7195.0	1787.0	981.0	14678.0	4206.0	2270.0	1809.0	7169.0	930.0	1317.0	1011.0	1354.0	249.0
2	1	8	0.3685091891041396	0.3562468578218845	0.9909873002867677	45340.0	7195.0	14678.0	1809.0	1317.0	9704.0	1787.0	981.0	4206.0	7169.0	1011.0	2270.0	1354.0	930.0	249.0
1	2	9	0.38513345297074975	0.35006932713754635	0.9935007385524373	46095.0	6440.0	9946.0	1653.0	873.0	14997.0	1631.0	1176.0	4994.0	6403.0	989.0	2525.0	839.0	1202.0	237.0
1	9	2	-58.48776665342118	1.0	0.5016408114558473	46095.0	9946.0	6440.0	1653.0	873.0	14997.0	4994.0	2525.0	1631.0	6403.0	839.0	1176.0	989.0	1202.0	237.0
2	1	9	-0.3826139953539324	0.6489969481868048	1.0066285025610124	46095.0	6440.0	14997.0	1631.0	1176.0	9946.0	1653.0	873.0	4994.0	6403.0	989.0	2525.0	1202.0	839.0	237.0
1	2	10	0.5073421334978997	0.3059573847703345	0.9914226560189293	46053.0	6482.0	9932.0	1662.0	878.0	14990.0	1633.0	1181.0	4985.0	6388.0	1013.0	2526.0	835.0	1204.0	238.0
1	10	2	-58.13441067632859	1.0	0.5021722846441947	46053.0	9932.0	6482.0	1662.0	878.0	14990.0	4985.0	2526.0	1633.0	6388.0	835.0	1181.0	1013.0	1204.0	238.0
2	1	10	-0.5029528369968738	0.6925012872616667	1.0088038858530661	46053.0	6482.0	14990.0	1633.0	1181.0	9932.0	1662.0	878.0	4985.0	6388.0	1013.0	2526.0	1204.0	835.0	238.0
1	2	11	0.8081714490905388	0.20949588743908798	0.9867128827267475	46077.0	6458.0	9924.0	1664.0	884.0	14963.0	1618.0	1223.0	5034.0	6344.0	1008.0	2530.0	849.0	1199.0	225.0
1	11	2	-59.207343118154895	1.0	0.5033893309755378	46077.0	9924.0	6458.0	1664.0	884.0	14963.0	5034.0	2530.0	1618.0	6344.0	849.0	1223.0	1008.0	1199.0	225.0
2	1	11	-0.7972885782889685	0.7873583344744073	1.0138387484957883	46077.0	6458.0	14963.0	1618.0	1223.0	9924.0	1664.0	884.0	5034.0	6344.0	1008.0	2530.0	1199.0	849.0	225.0
1	2	12	0.6675587213977271	0.2522075916742914	0.9888169511477339	46061.0	6474.0	9931.0	1657.0	884.0	14976.0	1619.0	1209.0	4979.0	6409.0	998.0	2534.0	853.0	1194.0	222.0
1	12	2	-58.358686117980504	1.0	0.5028434600419036	46061.0	9931.0	6474.0	1657.0	884.0	14976.0	4979.0	2534.0	1619.0	6409.0	853.0	1209.0	998.0	1194.0	222.0
2	1	12	-0.6600089501438242	0.7453760213537488	1.0115712545676006	46061.0	6474.0	14976.0	1619.0	1209.0	9931.0	1657.0	884.0	4979.0	6409.0	998.0	2534.0	1194.0	853.0	222.0
1	2	13	1.0118661338107338	0.15580104634724912	0.9943985062683383	49021.0	3514.0	11090.0	887.0	495.0	16310.0	845.0	649.0	8301.0	3454.0	631.0	3571.0	418.0	661.0	153.0
1	13	2	-178.61846466839927	1.0	0.5014122394082045	49021.0	11090.0	3514.0	887.0	495.0	16310.0	8301.0	3571.0	845.0	3454.0	418.0	649.0	631.0	661.0	153.0
