P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	0.9357637433402255	0.17469740595628203	0.9807370184254607	54287.0	6203.0	8686.0	1254.0	597.0	13303.0	1208.0	876.0	3550.0	6224.0	700.0	1532.0	604.0	863.0	113.0
1	3	2	-46.70681640672078	1.0	0.504959034066408	54287.0	8686.0	6203.0	1254.0	597.0	13303.0	3550.0	1532.0	1208.0	6224.0	604.0	876.0	700.0	863.0	113.0
2	1	3	-0.917384096801519	0.8205293209854327	1.0204444444444445	54287.0	6203.0	13303.0	1208.0	876.0	8686.0	1254.0	597.0	3550.0	6224.0	700.0	1532.0	863.0	604.0	113.0
1	2	4	0.6931624800610721	0.24410372713229767	0.9864325618515563	54300.0	6190.0	8717.0	1236.0	584.0	13307.0	1202.0	878.0	3674.0	6096.0	704.0	1549.0	621.0	812.0	130.0
1	4	2	-49.703827246732175	1.0	0.5034623217922607	54300.0	8717.0	6190.0	1236.0	584.0	13307.0	3674.0	1549.0	1202.0	6096.0	621.0	878.0	704.0	812.0	130.0
2	1	4	-0.6836286919048923	0.752895236581774	1.01414309484193	54300.0	6190.0	13307.0	1202.0	878.0	8717.0	1236.0	584.0	3674.0	6096.0	704.0	1549.0	812.0	621.0	130.0
1	2	5	0.5731880679424817	0.28325864379394694	0.9947995666305526	56200.0	4290.0	9194.0	893.0	450.0	13899.0	869.0	619.0	5460.0	4451.0	563.0	1970.0	438.0	615.0	89.0
1	5	2	-109.07291276222193	1.0	0.5013103297663245	56200.0	9194.0	4290.0	893.0	450.0	13899.0	5460.0	1970.0	869.0	4451.0	438.0	619.0	563.0	615.0	89.0
2	1	5	-0.5701916589617325	0.7157261797994017	1.0052828527404798	56200.0	4290.0	13899.0	869.0	619.0	9194.0	893.0	450.0	5460.0	4451.0	563.0	1970.0	615.0	438.0	89.0
1	2	6	1.0160612260331872	0.15480013187654207	0.993019509575801	56881.0	3609.0	9431.0	761.0	345.0	14122.0	722.0	543.0	6270.0	3715.0	489.0	2164.0	354.0	505.0	89.0
1	6	2	-143.52516139017513	1.0	0.5017635886768562	56881.0	9431.0	3609.0	761.0	345.0	14122.0	6270.0	2164.0	722.0	3715.0	354.0	543.0	489.0	505.0	89.0
2	1	6	-1.0089187624759965	0.843493188587183	1.0071297989031078	56881.0	3609.0	14122.0	722.0	543.0	9431.0	761.0	345.0	6270.0	3715.0	489.0	2164.0	505.0	354.0	89.0
1	2	7	0.18114692676191851	0.428126135636687	0.9987546699875467	56794.0	3696.0	9457.0	751.0	329.0	14145.0	744.0	498.0	6358.0	3603.0	513.0	2167.0	356.0	507.0	82.0
1	7	2	-145.09868833629545	1.0	0.5003119151590767	56794.0	9457.0	3696.0	751.0	329.0	14145.0	6358.0	2167.0	744.0	3603.0	356.0	498.0	513.0	507.0	82.0
2	1	7	-0.18092105777593107	0.5717852204108891	1.00125	56794.0	3696.0	14145.0	744.0	498.0	9457.0	751.0	329.0	6358.0	3603.0	513.0	2167.0	507.0	356.0	82.0
1	2	8	1.6333689115161056	0.05119570521414307	0.9936297451898076	58498.0	1992.0	9854.0	477.0	206.0	14651.0	428.0	308.0	8071.0	2087.0	316.0	2588.0	196.0	265.0	63.0
1	8	2	-253.13884722557762	1.0	0.50160792806983	58498.0	9854.0	1992.0	477.0	206.0	14651.0	8071.0	2588.0	428.0	2087.0	196.0	308.0	316.0	265.0	63.0
2	1	8	-1.6228972280587866	0.9476943192313951	1.00649436713055	58498.0	1992.0	14651.0	428.0	308.0	9854.0	477.0	206.0	8071.0	2087.0	316.0	2588.0	265.0	196.0	63.0
1	2	9	1.027510620529973	0.1520900638351339	0.9969256237436444	58906.0	1584.0	10054.0	334.0	149.0	14887.0	308.0	192.0	8739.0	1497.0	238.0	2743.0	127.0	201.0	41.0
1	9	2	-332.1625679059393	1.0	0.5007721549061535	58906.0	10054.0	1584.0	334.0	149.0	14887.0	8739.0	2743.0	308.0	1497.0	127.0	192.0	238.0	201.0	41.0
2	1	9	-1.0243419245112588	0.8471630797179325	1.0031029955841986	58906.0	1584.0	14887.0	308.0	192.0	10054.0	334.0	149.0	8739.0	1497.0	238.0	2743.0	201.0	127.0	41.0
1	3	4	0.317374116795337	0.37547994121765627	0.9038461538461539	56644.0	6329.0	6373.0	1240.0	441.0	16157.0	1225.0	1003.0	1366.0	6232.0	438.0	1007.0	462.0	1014.0	69.0
1	4	3	-2.665942581080813	0.9961613151824829	0.5280898876404494	56644.0	6373.0	6329.0	1240.0	441.0	16157.0	1366.0	1007.0	1225.0	6232.0	462.0	1003.0	438.0	1014.0	69.0
3	1	4	-0.28361091288093926	0.6116456476085539	1.135135135135135	56644.0	6329.0	16157.0	1225.0	1003.0	6373.0	1240.0	441.0	1366.0	6232.0	438.0	1007.0	1014.0	462.0	69.0
1	3	5	0.26113655126400687	0.39699366219985155	0.9950561797752809	58545.0	4428.0	6849.0	897.0	308.0	16798.0	886.0	701.0	3100.0	4548.0	388.0	1431.0	324.0	739.0	58.0
1	5	3	-52.29852931223749	1.0	0.5012451890423364	58545.0	6849.0	4428.0	897.0	308.0	16798.0	3100.0	1431.0	886.0	4548.0	324.0	701.0	388.0	739.0	58.0
3	1	5	-0.2598391248575462	0.6025060060456955	1.0050182481751824	58545.0	4428.0	16798.0	886.0	701.0	6849.0	897.0	308.0	3100.0	4548.0	388.0	1431.0	739.0	324.0	58.0
1	3	6	0.44437524091891967	0.32838568379956756	0.994723774053383	59274.0	3699.0	7038.0	744.0	272.0	17043.0	727.0	615.0	3932.0	3779.0	325.0	1581.0	285.0	620.0	66.0
1	6	3	-83.33342753232445	1.0	0.5013295792272798	59274.0	7038.0	3699.0	744.0	272.0	17043.0	3932.0	1581.0	727.0	3779.0	285.0	615.0	325.0	620.0	66.0
3	1	6	-0.44201818035866336	0.6707619454065071	1.0053610848312835	59274.0	3699.0	17043.0	727.0	615.0	7038.0	744.0	272.0	3932.0	3779.0	325.0	1581.0	620.0	285.0	66.0
1	3	7	0.8718020755250238	0.19165814170845463	0.9896938466201879	59232.0	3741.0	7019.0	785.0	250.0	17049.0	751.0	585.0	4016.0	3668.0	352.0	1605.0	284.0	611.0	52.0
1	7	3	-82.84683841239271	1.0	0.5026169950738917	59232.0	7019.0	3741.0	785.0	250.0	17049.0	4016.0	1605.0	751.0	3668.0	284.0	585.0	352.0	611.0	52.0
3	1	7	-0.8627235853051614	0.8058553116038467	1.0106349702846418	59232.0	3741.0	17049.0	751.0	585.0	7019.0	785.0	250.0	4016.0	3668.0	352.0	1605.0	611.0	284.0	52.0
1	3	8	1.1417056918915982	0.1267882419014824	0.9936257967754031	60895.0	2078.0	7457.0	463.0	134.0	17579.0	429.0	377.0	5729.0	2119.0	188.0	2002.0	163.0	344.0	43.0
1	8	3	-176.83006392650455	1.0	0.5016089343176224	60895.0	7457.0	2078.0	463.0	134.0	17579.0	5729.0	2002.0	429.0	2119.0	163.0	377.0	188.0	344.0	43.0
3	1	8	-1.1343815421700296	0.8716826777546297	1.0064984709480123	60895.0	2078.0	17579.0	429.0	377.0	7457.0	463.0	134.0	5729.0	2119.0	188.0	2002.0	344.0	163.0	43.0
1	3	9	2.1516895747539415	0.01571085005804751	0.9913313706247956	61363.0	1610.0	7597.0	332.0	125.0	17888.0	279.0	218.0	6340.0	1532.0	164.0	2141.0	121.0	255.0	35.0
