P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dufourea_novaeangliae	Dieunomia_heteropoda	Dieunomia_triangulifera	14.203685441279259	0.0	0.07669366407208947	303707.8125	14606.6875	34545.1875	13672.8125	2782.5	60679.625	1966.5	2347.125	2938.875	16583.125	917.25	5217.5	1874.875	8972.125	657.0
Dufourea_novaeangliae	Dieunomia_triangulifera	Dieunomia_heteropoda	-99999.9	1.0	-0.09961263885776482	303707.8125	34545.1875	14606.6875	13672.8125	2782.5	60679.625	2938.875	5217.5	1966.5	16583.125	1874.875	2347.125	917.25	8972.125	657.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Dieunomia_triangulifera	-156.79287496732368	1.0	0.4783341317498691	303707.8125	14606.6875	60679.625	1966.5	2347.125	34545.1875	13672.8125	2782.5	2938.875	16583.125	917.25	5217.5	8972.125	1874.875	657.0
Dufourea_novaeangliae	Dieunomia_heteropoda	Austronomia_australica	-10.241804528095352	1.0	1.150708585146034	278865.625	32302.1875	44314.3125	2766.75	2845.375	53317.6875	3661.375	5037.375	10492.125	7041.9375	1994.375	10895.5	1871.0	2316.75	886.625
Dufourea_novaeangliae	Austronomia_australica	Dieunomia_heteropoda	-88.44128059939597	1.0	0.4692698091009798	278865.625	44314.3125	32302.1875	2766.75	2845.375	53317.6875	10492.125	10895.5	3661.375	7041.9375	1871.0	5037.375	1994.375	2316.75	886.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Austronomia_australica	11.58317617483214	0.0	0.8962151972157772	278865.625	32302.1875	53317.6875	3661.375	5037.375	44314.3125	2766.75	2845.375	10492.125	7041.9375	1994.375	10895.5	2316.75	1871.0	886.625
Dufourea_novaeangliae	Dieunomia_heteropoda	Macronomia_clavisetis	3.426509097011964	0.000305746304079646	0.9154581605888823	285790.375	21800.0625	40052.125	4658.0625	4774.125	51345.75	4345.8125	5071.5	7727.0	9371.0625	1947.5	8862.5	2357.125	3274.0	1133.0
Dufourea_novaeangliae	Macronomia_clavisetis	Dieunomia_heteropoda	-33.67731709178913	1.0	0.52420495726827	285790.375	40052.125	21800.0625	4658.0625	4774.125	51345.75	7727.0	8862.5	4345.8125	9371.0625	2357.125	5071.5	1947.5	3274.0	1133.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Macronomia_clavisetis	-3.1100736832580727	0.9990647288235597	1.1132700024939353	285790.375	21800.0625	51345.75	4345.8125	5071.5	40052.125	4658.0625	4774.125	7727.0	9371.0625	1947.5	8862.5	3274.0	2357.125	1133.0
Dufourea_novaeangliae	Dieunomia_heteropoda	Lipotriches_collaris	-0.9791132978243605	0.8362379973450882	1.0269778666234444	284118.4375	25002.875	41676.4375	4402.5	4273.0	52235.3125	4496.125	5172.75	8060.1875	9626.5	1934.5	9234.375	2447.0	3297.5	1120.5
Dufourea_novaeangliae	Lipotriches_collaris	Dieunomia_heteropoda	-38.25143359717971	1.0	0.4935178453975837	284118.4375	41676.4375	25002.875	4402.5	4273.0	52235.3125	8060.1875	9234.375	4496.125	9626.5	2447.0	5172.75	1934.5	3297.5	1120.5
Dieunomia_heteropoda	Dufourea_novaeangliae	Lipotriches_collaris	1.004833801465586	0.15748845414154755	0.9750420686093201	284118.4375	25002.875	52235.3125	4496.125	5172.75	41676.4375	4402.5	4273.0	8060.1875	9626.5	1934.5	9234.375	3297.5	2447.0	1120.5
Dufourea_novaeangliae	Dieunomia_heteropoda	Lipotriches_justiciae	-7.944358206551009	0.999999999999999	1.4161888512852068	284389.75	33450.75	43429.0625	4272.1875	4014.0	52430.9375	5202.1875	6548.625	8366.75	9854.625	2066.625	9575.75	2481.625	3367.25	1173.875
Dufourea_novaeangliae	Lipotriches_justiciae	Dieunomia_heteropoda	-34.97706580549571	1.0	0.4359426928176605	284389.75	43429.0625	33450.75	4272.1875	4014.0	52430.9375	8366.75	9575.75	5202.1875	9854.625	2481.625	6548.625	2066.625	3367.25	1173.875
Dieunomia_heteropoda	Dufourea_novaeangliae	Lipotriches_justiciae	10.279042110595388	0.0	0.8149092582687547	284389.75	33450.75	52430.9375	5202.1875	6548.625	43429.0625	4272.1875	4014.0	8366.75	9854.625	2066.625	9575.75	3367.25	2481.625	1173.875
