P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dufourea_novaeangliae	Dieunomia_heteropoda	Dieunomia_triangulifera	14.203685441279259	0.0	0.07669366407208947	303707.8125	14606.6875	34545.1875	13672.8125	2782.5	60679.625	1966.5	2347.125	2938.875	16583.125	917.25	5217.5	1874.875	8972.125	657.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Austronomia_australica	11.58317617483214	0.0	0.8962151972157772	278865.625	32302.1875	53317.6875	3661.375	5037.375	44314.3125	2766.75	2845.375	10492.125	7041.9375	1994.375	10895.5	2316.75	1871.0	886.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Lipotriches_justiciae	10.279042110595388	0.0	0.8149092582687547	284389.75	33450.75	52430.9375	5202.1875	6548.625	43429.0625	4272.1875	4014.0	8366.75	9854.625	2066.625	9575.75	3367.25	2481.625	1173.875
Dieunomia_heteropoda	Dufourea_novaeangliae	Hoplonomia_elliotii	12.992787700381784	0.0	0.8774120644608706	278133.0625	33575.625	52228.3125	4189.75	5698.25	43401.6875	3125.25	3853.125	10744.3125	6247.875	2314.625	10683.125	2232.5	1924.375	1024.125
Dieunomia_heteropoda	Dufourea_novaeangliae	Curvinomia_chalybeata	10.67237747773381	0.0	0.9038089857571883	273748.9375	26443.6875	50684.1875	3487.3125	4647.375	42675.1875	2678.5625	2824.875	10277.5625	6115.1875	2179.875	10413.125	2084.125	1772.125	857.875
Dufourea_novaeangliae	Ruginomia_rugiventris	Dieunomia_heteropoda	29.162324978360797	0.0	0.6464498416352678	130325.0	18453.625	131063.9375	7378.5625	13816.125	18812.8125	4287.9375	3748.625	9939.0	4928.125	2637.0	18805.0	5631.25	2621.0	2246.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Pachynomia_tshibindica	12.284976515493057	0.0	0.7605656350053362	278993.8125	35510.5625	50890.6875	5496.8125	7090.125	42265.8125	4375.0625	4131.25	7938.3125	9758.5625	2229.25	9276.625	3405.125	2533.75	1186.25
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_siamensis	8.356552181246409	0.0	0.8161108927653656	280784.5625	31556.9375	51509.5	5210.25	5961.5	41631.9375	4449.9375	4308.125	7824.25	9967.75	2107.75	9097.0	3501.0	2532.25	1175.25
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_oxybeloides	13.99575571225882	0.0	0.75838834225931	275124.1875	28235.5	49246.6875	4984.125	5810.25	40740.75	3771.6875	3237.375	7577.375	9407.8125	1986.125	8828.75	3317.125	2287.125	1090.125
Dufourea_novaeangliae	Pachynomia_flavicarpa	Dieunomia_heteropoda	17.756724121972628	0.0	0.6741096247886813	165229.5625	23279.125	112485.25	6831.9375	11692.125	28250.4375	5036.75	5244.625	8750.125	6800.6875	2676.75	15733.125	4670.5	2905.375	1993.625
