P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dieunomia_heteropoda	Dieunomia_triangulifera	Austronomia_australica	13.63783726828362	0.0	0.9264242867734139	275051.25	41127.25	13925.3125	3045.1875	1476.25	33113.125	2090.0	2276.625	14117.1875	55627.4375	12019.875	2751.875	2287.75	4940.5	705.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_collaris	7.8597248999576985	1.9984014443252818e-15	0.9508381655245124	284089.625	30341.875	13305.375	3152.125	1687.25	32116.625	2569.25	3230.625	13842.625	56820.0	10882.125	2605.5	2323.25	4928.375	776.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_justiciae	11.05152606050774	0.0	0.9388504959354237	283824.3125	39114.5	14050.75	3158.4375	1542.75	33652.25	2355.4375	2722.0	14684.1875	57027.5	12607.0	2551.75	2429.25	5112.5	749.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Hoplonomia_elliotii	10.628765061652185	0.0	0.9385078224909477	273928.875	41949.5625	13079.0	3239.8125	2197.75	32283.375	2455.4375	3180.5	14426.75	54203.6875	12792.125	2911.25	2323.25	4797.75	895.875
Dieunomia_heteropoda	Dieunomia_triangulifera	Curvinomia_chalybeata	12.520217370165083	0.0	0.9288644425024418	269764.9375	35226.3125	12993.5625	2931.3125	1511.625	31914.1875	2066.4375	2295.375	13359.6875	52655.1875	11100.375	2537.375	2216.875	4704.375	687.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Ruginomia_rugiventris	23.795332812025478	0.0	0.8458982806832969	129408.53125	134796.40625	14675.53125	5158.09375	9960.4375	6622.03125	3070.84375	5126.1875	14528.21875	22177.78125	25047.8125	1934.1875	2327.0625	1673.3125	1398.5625
Dieunomia_heteropoda	Dieunomia_triangulifera	Pachynomia_tshibindica	11.273064800138872	0.0	0.9377337041282248	278499.5	41339.375	13750.3125	3236.1875	1875.125	32743.875	2407.75	3006.0	14884.0625	55712.9375	13126.625	2855.5	2355.5	5095.25	857.0
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_siamensis	6.881358367725018	2.9822810887480955e-12	0.9590332097058398	280342.5	37541.5	13753.625	3130.625	1766.25	31955.4375	2617.6875	3328.375	14625.5625	56425.8125	11911.625	2844.125	2432.625	4965.625	816.625
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_oxybeloides	10.794714109460289	0.0	0.9416498500002455	274371.8125	34040.375	13846.4375	2837.25	1200.875	31591.5625	2094.5	2306.25	14080.9375	53865.75	11510.625	2715.0	2278.5	4774.375	698.75
Dieunomia_triangulifera	Dieunomia_heteropoda	Pachynomia_flavicarpa	18.263673243784577	0.0	0.8788628294002561	164994.1875	116320.625	17966.8125	4733.75	8551.625	8433.0625	3166.5	4568.625	14537.0625	32153.375	22354.5	2131.375	2910.125	2044.625	1263.75
Dieunomia_triangulifera	Dieunomia_heteropoda	Pseudapis_flavolobata	8.00805691308022	6.661338147750939e-16	0.9418852319719028	216016.0625	71572.5	22319.4375	3682.25	6106.5	10424.875	3041.0625	3333.75	13433.0	41820.6875	15989.5	2110.125	3525.0	2055.625	1022.625
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_interstitinervis	13.671810733459765	0.0	0.9273640198956141	289315.6875	26539.0625	13664.1875	3071.0625	1415.0	33242.8125	2109.0625	2315.125	14391.1875	56796.3125	10963.5	2768.375	2330.5	5051.625	738.5
Dieunomia_heteropoda	Dieunomia_triangulifera	Nomiapis_bispinosa	9.161484005469218	0.0	0.9464467632659117	286870.8125	32159.0625	13764.375	3181.75	1798.25	32648.8125	2504.9375	2987.375	14466.25	58197.125	11188.0	2850.0	2505.0	4989.75	824.5
Dieunomia_heteropoda	Dieunomia_triangulifera	Nomiapis_diversipes	5.803794518692258	3.2516391801351574e-09	0.9659631164668112	282146.125	40281.8125	14190.1875	3077.625	1598.0	32528.0	2644.9375	3271.125	14924.5625	57062.5	12847.5	2679.375	2492.5	4973.0	805.75
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_pandeana	13.600331100691326	0.0	0.9293789055536	292802.4375	28637.5	14074.125	3117.3125	1590.125	33773.8125	2151.75	2344.75	14858.625	57911.5625	11523.375	2867.75	2390.625	5016.375	786.875
Dieunomia_heteropoda	Dieunomia_triangulifera	Acunomia_melanderi	14.203685441279259	0.0	0.9233063359279106	303707.8125	16583.125	14606.6875	2938.875	917.25	34545.1875	1966.5	1874.875	13672.8125	60679.625	8972.125	2782.5	2347.125	5217.5	657.0
Dieunomia_heteropoda	Dieunomia_triangulifera	Pachynomia_amoenula	9.311577673944328	0.0	0.9466512329850987	290280.875	31208.125	13974.125	3140.375	1639.5	32900.6875	2457.6875	3006.625	14571.6875	58145.4375	11548.875	2877.875	2392.125	5090.625	821.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Steganomus_ennediensis	18.431138832711653	0.0	0.8846873848666196	160724.65625	110360.03125	17488.71875	4003.28125	7356.0625	8442.15625	2555.71875	3585.9375	13661.53125	28681.59375	21191.6875	1802.1875	2502.3125	1674.3125	1144.8125
Dieunomia_heteropoda	Dieunomia_triangulifera	Steganomus_junodi	6.072313535601257	6.327743884426695e-10	0.9603369027174462	246153.5	29928.375	11218.625	2356.25	1414.5	26518.875	1963.625	2476.625	11470.0	43900.5	9342.875	2020.5	1787.0	3658.375	660.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Pseudapis_kenyensis	25.002690573725715	0.0	0.8298131379561489	183592.90625	82361.21875	18060.71875	4207.96875	7463.4375	9910.09375	2250.96875	2668.0625	11793.09375	33383.71875	15454.5625	2019.4375	2647.6875	1797.3125	1026.8125
Dieunomia_triangulifera	Dieunomia_heteropoda	Pseudapis_nilotica	32.28681363647639	0.0	0.7927753558118652	138954.34375	118920.84375	14479.09375	5213.90625	9954.3125	7292.65625	2430.21875	3809.9375	13079.71875	23649.28125	21846.5625	1809.6875	2276.3125	1724.3125	1320.8125
Dieunomia_heteropoda	Dieunomia_triangulifera	Afronomia_circumnitens	5.2120107977991745	9.358250641078314e-08	0.9658204931310289	255074.3125	44832.4375	12101.875	2944.875	2096.5	28779.0	2563.75	3570.5	13333.3125	49837.5625	12120.375	2622.5	2144.25	4280.5	850.25
Dieunomia_triangulifera	Dieunomia_heteropoda	Stictonomia_schubotzi	38.206572020677356	0.0	0.7582745523602822	109829.53125	158386.09375	11646.40625	7065.90625	13935.5625	5619.46875	3223.46875	6091.1875	15276.90625	20642.90625	28297.8125	2048.6875	2113.4375	1957.9375	1798.6875
Dieunomia_heteropoda	Macronomia_clavisetis	Austronomia_australica	13.876436921709047	0.0	0.25478978011846576	261194.25	31599.75	19060.75	7922.875	3672.875	38107.1875	4235.0625	3255.0	5495.9375	47450.9375	5506.875	4648.125	4544.25	8434.0	1367.125
Dieunomia_heteropoda	Lipotriches_collaris	Austronomia_australica	8.997164184972878	0.0	0.2062972998224797	258233.375	32995.5	23325.0	7783.0	3095.875	39545.25	4597.375	3411.0	5425.375	47928.125	5829.375	4321.75	4921.125	8619.5	1346.375
Dieunomia_heteropoda	Nomiapis_bispinosa	Austronomia_australica	5.354641743425118	4.295673039500514e-08	0.13576830843017892	260867.5625	33238.375	24281.875	8029.8125	3619.625	40232.1875	4808.875	3554.25	5314.875	49137.8125	6033.625	3952.5	4909.875	8799.375	1388.375
Dieunomia_heteropoda	Acunomia_melanderi	Austronomia_australica	11.583176174832138	0.0	0.10378480278422272	278865.625	32302.1875	7041.9375	10492.125	1994.375	44314.3125	2766.75	2845.375	3661.375	53317.6875	5037.375	1871.0	2316.75	10895.5	886.625
Dieunomia_heteropoda	Austronomia_australica	Stictonomia_sangaensis	6.57746426555095	2.4050317293244916e-11	0.23861702375679014	207203.453125	58528.046875	25807.484375	7531.671875	6863.59375	30833.859375	5490.546875	6532.09375	6130.234375	36115.421875	9344.09375	3136.46875	4793.09375	6485.84375	1801.09375
Dieunomia_heteropoda	Austronomia_australica	Steganomus_ennediensis	11.56949717697949	0.0	0.517064188755192	148650.890625	94587.234375	17955.359375	7868.421875	11572.59375	21424.609375	6458.671875	10516.09375	7968.046875	23025.609375	14124.71875	3243.34375	3977.21875	4658.21875	2467.96875
Austronomia_australica	Dieunomia_heteropoda	Pseudapis_nilotica	11.256903830351353	0.0	0.6273502616786198	126673.625	106420.125	17579.1875	7446.6875	13126.875	17883.0	6245.125	9655.625	8267.9375	18716.3125	15105.5	3212.5	3956.75	3710.625	2428.125
Austronomia_australica	Dieunomia_heteropoda	Stictonomia_schubotzi	12.876983910717628	0.0	0.6202293316048583	99807.4375	141766.375	14450.0625	9265.125	17722.5	14147.3125	7727.125	14180.75	10238.9375	15625.75	19819.25	3575.0	3878.875	3873.125	3248.375
Dieunomia_heteropoda	Macronomia_clavisetis	Lipotriches_collaris	4.821363682257634	7.138422932762012e-07	0.13506139154160984	269358.1875	22236.5	19611.0625	7646.25	3021.0	37135.3125	4753.625	3768.375	5205.3125	48302.875	4736.875	4515.125	4797.25	8222.875	1349.375
Dieunomia_heteropoda	Macronomia_clavisetis	Lipotriches_justiciae	12.567252037703865	0.0	0.27991984319691077	267771.375	30564.625	20344.8125	7927.9375	3345.25	38398.25	4851.125	3859.125	6047.1875	48339.6875	6014.625	4953.125	4845.5	8584.0	1440.375
Dieunomia_heteropoda	Macronomia_clavisetis	Hoplonomia_elliotii	14.032071310959406	0.0	0.3084521384928717	259376.5625	33519.5	19389.5625	7621.375	3673.25	37346.5	4650.3125	3888.625	5975.5	45846.3125	6350.125	4545.875	4840.0	8033.5	1465.0
Dieunomia_heteropoda	Macronomia_clavisetis	Curvinomia_chalybeata	12.322085996378203	0.0	0.2771821877599711	255973.0625	27784.0	19244.0625	7131.625	2921.25	36680.0625	4253.5	3170.125	5357.1875	45033.375	5210.875	4513.625	4534.0	7843.125	1284.125
Macronomia_clavisetis	Dieunomia_heteropoda	Ruginomia_rugiventris	10.57119430027572	0.0	0.7908987598201492	123989.21875	123229.03125	16663.03125	6445.15625	11837.3125	9537.15625	5387.15625	8063.9375	9388.90625	17718.65625	17185.4375	3267.9375	3769.9375	2878.5625	2350.5625
Dieunomia_heteropoda	Macronomia_clavisetis	Pachynomia_tshibindica	14.872399712855561	0.0	0.3569724770642202	262372.0	33362.3125	20577.1875	7512.75	3204.75	37616.6875	4884.375	3936.375	6343.5	46655.4375	6764.75	4884.875	5017.0	8268.375	1427.625
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_siamensis	10.850468570722482	0.0	0.2887245645306461	264175.25	29815.625	20795.375	7422.875	2940.375	37048.8125	4903.9375	3929.125	5926.4375	47428.1875	5631.25	4745.125	4964.25	8199.875	1436.5
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_oxybeloides	14.881227789145143	0.0	0.34540932194225155	259951.0625	26458.6875	20477.4375	7098.8125	2627.0	36296.125	4450.625	3178.5	5848.0	45460.375	5476.375	4720.625	4810.75	7891.625	1325.0
Dieunomia_heteropoda	Macronomia_clavisetis	Stictonomia_aliceae	11.007396263538771	0.0	0.303018639687689	256077.375	32263.125	19540.4375	7235.6875	3197.375	36036.9375	4858.9375	4350.625	5892.25	44979.5	6401.25	4487.25	4596.25	7833.0	1425.0
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_flavolobata	6.647667306428428	1.4968692951811136e-11	0.5456708840677429	205995.5625	62430.0	14657.5	6692.1875	5863.5	25989.5625	5976.25	8200.125	6836.125	35406.1875	9365.625	4093.75	4029.5	6056.0	1854.125
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_interstitinervis	11.945178669069932	0.0	0.27767339909190547	273397.6875	18782.5	20820.6875	7518.25	2854.375	38170.875	4634.8125	3190.875	5743.25	47914.3125	4923.75	4957.25	4936.25	8403.625	1372.5
Dieunomia_heteropoda	Macronomia_clavisetis	Nomiapis_bispinosa	7.341876574836342	1.0613732115416497e-13	0.21868791226257653	270226.25	24704.1875	21377.0	7404.4375	2699.875	37594.5625	4946.625	3728.125	5634.5625	49092.625	5014.125	4972.625	5119.75	8286.625	1389.625
Dieunomia_heteropoda	Macronomia_clavisetis	Nomiapis_diversipes	10.614858333176407	0.0	0.29022448010969115	266498.25	31250.75	20326.0	7795.875	3822.625	37245.6875	5272.3125	4706.75	6304.1875	48097.6875	6301.375	5302.625	5043.5	8355.75	1594.625
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_pandeana	14.3161082599402	0.0	0.3249629410020753	276225.9375	20891.875	21088.875	7597.0625	2943.5	38788.375	4750.9375	3282.125	6121.0625	48582.75	5370.125	5133.25	5036.0	8363.875	1403.25
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_riftensis	8.24306274129031	1.1102230246251565e-16	0.25488958990536276	240245.6875	32821.75	16790.375	7007.0625	4274.375	31262.125	4792.6875	4768.75	5550.1875	41042.75	5622.625	4344.375	4212.25	6811.375	1453.625
Dieunomia_heteropoda	Macronomia_clavisetis	Pseudapis_cinerea	9.879136031134056	0.0	0.2970235068643173	260915.9375	32220.875	20231.125	7459.6875	3486.125	36143.25	5213.0625	4628.625	6162.3125	46588.625	6236.5	4956.625	4957.0	8015.75	1563.5
Dieunomia_heteropoda	Macronomia_clavisetis	Pachynomia_amoenula	9.389408717747797	0.0	0.24582210242587602	273464.4375	23462.3125	21068.9375	7633.3125	2870.25	38057.375	4922.75	3716.625	5806.25	48768.0	5392.75	4884.5	5096.625	8432.125	1345.75
Dieunomia_heteropoda	Macronomia_clavisetis	Stictonomia_sangaensis	11.882056064750802	0.0	0.5851346226772849	215183.609375	61063.390625	16026.015625	6664.578125	5247.40625	28622.640625	5433.828125	6836.28125	7169.703125	36574.890625	9565.15625	4767.03125	4144.15625	6157.53125	1838.78125
Dieunomia_heteropoda	Macronomia_clavisetis	Steganomus_junodi	10.069627013895916	0.0	0.3406339774596705	235886.046875	23571.015625	17288.078125	5743.078125	2461.28125	30482.578125	4064.703125	3601.90625	4931.765625	37684.015625	4522.65625	3963.03125	3900.65625	6153.03125	1155.15625
Macronomia_clavisetis	Dieunomia_heteropoda	Pseudapis_nilotica	19.942511333030893	0.0	0.6409244768770881	133159.90625	109545.40625	16429.46875	6884.65625	12392.0625	10467.65625	4842.59375	6846.1875	8487.53125	19292.96875	14956.1875	3566.4375	3746.5625	3092.8125	2291.5625
