P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dieunomia_heteropoda	Dieunomia_triangulifera	Austronomia_australica	13.63783726828362	0.0	0.9264242867734139	275051.25	41127.25	13925.3125	3045.1875	1476.25	33113.125	2090.0	2276.625	14117.1875	55627.4375	12019.875	2751.875	2287.75	4940.5	705.375
Dieunomia_heteropoda	Austronomia_australica	Dieunomia_triangulifera	-158.0821924851783	1.0	0.520675781345123	275051.25	13925.3125	41127.25	3045.1875	1476.25	33113.125	14117.1875	2751.875	2090.0	55627.4375	2287.75	2276.625	12019.875	4940.5	705.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Austronomia_australica	-12.55473353470512	1.0	1.0944158547961622	275051.25	41127.25	33113.125	2090.0	2276.625	13925.3125	3045.1875	1476.25	14117.1875	55627.4375	12019.875	2751.875	4940.5	2287.75	705.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Macronomia_clavisetis	-2.598924251351662	0.9953241459020846	1.0194109325383574	284545.0	27881.125	14406.125	2795.5	1345.0	30611.8125	2995.3125	4033.5	13488.9375	55674.6875	10519.75	2801.125	2439.125	4743.0	833.0
Dieunomia_heteropoda	Macronomia_clavisetis	Dieunomia_triangulifera	-139.0875648373516	1.0	0.49528456339806426	284545.0	14406.125	27881.125	2795.5	1345.0	30611.8125	13488.9375	2801.125	2995.3125	55674.6875	2439.125	4033.5	10519.75	4743.0	833.0
Dieunomia_triangulifera	Dieunomia_heteropoda	Macronomia_clavisetis	2.648411206714866	0.004043596476301259	0.9816572189199734	284545.0	27881.125	30611.8125	2995.3125	4033.5	14406.125	2795.5	1345.0	13488.9375	55674.6875	10519.75	2801.125	4743.0	2439.125	833.0
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_collaris	7.8597248999576985	1.9984014443252818e-15	0.9508381655245124	284089.625	30341.875	13305.375	3152.125	1687.25	32116.625	2569.25	3230.625	13842.625	56820.0	10882.125	2605.5	2323.25	4928.375	776.375
Dieunomia_heteropoda	Lipotriches_collaris	Dieunomia_triangulifera	-144.1550744893807	1.0	0.5132689473055186	284089.625	13305.375	30341.875	3152.125	1687.25	32116.625	13842.625	2605.5	2569.25	56820.0	2323.25	3230.625	10882.125	4928.375	776.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Lipotriches_collaris	-7.453348180380567	0.9999999999999541	1.0576668604147859	284089.625	30341.875	32116.625	2569.25	3230.625	13305.375	3152.125	1687.25	13842.625	56820.0	10882.125	2605.5	4928.375	2323.25	776.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_justiciae	11.05152606050774	0.0	0.9388504959354237	283824.3125	39114.5	14050.75	3158.4375	1542.75	33652.25	2355.4375	2722.0	14684.1875	57027.5	12607.0	2551.75	2429.25	5112.5	749.375
Dieunomia_heteropoda	Lipotriches_justiciae	Dieunomia_triangulifera	-158.62655852041985	1.0	0.5168312058521453	283824.3125	14050.75	39114.5	3158.4375	1542.75	33652.25	14684.1875	2551.75	2355.4375	57027.5	2429.25	2722.0	12607.0	5112.5	749.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Lipotriches_justiciae	-10.331714609501944	1.0	1.0748875055372922	283824.3125	39114.5	33652.25	2355.4375	2722.0	14050.75	3158.4375	1542.75	14684.1875	57027.5	12607.0	2551.75	5112.5	2429.25	749.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Hoplonomia_elliotii	10.628765061652185	0.0	0.9385078224909477	273928.875	41949.5625	13079.0	3239.8125	2197.75	32283.375	2455.4375	3180.5	14426.75	54203.6875	12792.125	2911.25	2323.25	4797.75	895.875
