P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dieunomia_heteropoda	Dieunomia_triangulifera	Austronomia_australica	15.283394013641189	0.0	0.9224709271702141	273473.375	40370.1875	14039.9375	3032.25	1461.75	33048.125	1974.3125	2183.5	14562.0625	56728.5	12318.125	2654.25	2149.375	4991.0	676.25
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_collaris	9.348713812011624	0.0	0.9442239003979997	282327.375	29622.375	13409.5625	3127.4375	1666.25	31994.25	2444.25	3148.0	14009.8125	58127.4375	10976.75	2499.75	2198.375	5007.5	748.875
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_justiciae	12.98739065990346	0.0	0.9293691073600974	280953.875	39482.0625	14185.75	3142.5625	1517.75	33662.8125	2213.625	2603.375	14436.6875	59524.875	12182.5	2446.625	2260.625	5166.125	709.75
Dieunomia_heteropoda	Dieunomia_triangulifera	Hoplonomia_elliotii	11.447324068089474	0.0	0.9366624394306481	271937.4375	41141.25	13122.1875	3209.875	2135.5	32208.375	2373.3125	3143.625	14744.75	56075.4375	12658.125	2814.0	2186.625	4826.875	827.625
Dieunomia_heteropoda	Dieunomia_triangulifera	Curvinomia_chalybeata	14.545465286188442	0.0	0.9230014353926824	268289.375	34405.625	13091.6875	2893.6875	1501.375	31976.75	1908.0	2146.75	13723.6875	53749.4375	11424.625	2451.0	2064.5	4685.25	682.25
Dieunomia_triangulifera	Dieunomia_heteropoda	Ruginomia_rugiventris	23.755066025635823	0.0	0.8407952142353636	127782.46875	136212.21875	14733.71875	5189.78125	10094.8125	6679.71875	3100.65625	5177.4375	14133.78125	24231.96875	24320.8125	1883.0625	2353.1875	1615.0625	1388.3125
Dieunomia_heteropoda	Dieunomia_triangulifera	Pachynomia_tshibindica	12.41183760579079	0.0	0.9334776180964607	276392.875	41024.0625	13890.625	3179.8125	1851.375	32797.75	2282.6875	2853.375	14871.625	57769.3125	12895.875	2790.375	2198.0	5072.25	813.0
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_siamensis	8.130124718545455	2.220446049250313e-16	0.9547691143073429	279081.1875	35899.25	13874.625	3097.9375	1734.0	31927.875	2500.4375	3242.0	15112.9375	57274.125	12771.0	2750.625	2257.625	4954.625	786.75
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_oxybeloides	12.042349036456079	0.0	0.9389460214709784	272985.5625	32928.625	13946.125	2766.4375	1195.0	31656.75	1955.3125	2167.0	14429.5625	54980.5	12133.0	2619.0	2121.5	4733.75	667.875
Dieunomia_triangulifera	Dieunomia_heteropoda	Pachynomia_flavicarpa	18.342631139229017	0.0	0.8842876453843777	165485.5	114818.5	18090.75	4687.75	8540.0	8552.9375	3120.1875	4549.625	15099.6875	32135.9375	23272.125	2167.625	2852.125	1981.875	1247.375
