P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dieunomia_heteropoda	Dieunomia_triangulifera	Austronomia_australica	15.283394013641189	0.0	0.9224709271702141	273473.375	40370.1875	14039.9375	3032.25	1461.75	33048.125	1974.3125	2183.5	14562.0625	56728.5	12318.125	2654.25	2149.375	4991.0	676.25
Dieunomia_heteropoda	Austronomia_australica	Dieunomia_triangulifera	-165.51107942555376	1.0	0.5219329275087398	273484.421875	14073.078125	40403.328125	3065.390625	1528.03125	33081.265625	14595.203125	2720.53125	2007.453125	56761.640625	2215.65625	2249.78125	12384.40625	5057.28125	742.53125
Dieunomia_triangulifera	Dieunomia_heteropoda	Austronomia_australica	-13.99890110153962	1.0	1.1010265592360489	273473.375	40370.1875	33048.125	1974.3125	2183.5	14039.9375	3032.25	1461.75	14562.0625	56728.5	12318.125	2654.25	4991.0	2149.375	676.25
Dieunomia_heteropoda	Dieunomia_triangulifera	Macronomia_clavisetis	-1.8068360651836246	0.9646061317586219	1.012455055371782	283317.53125	27033.96875	14491.09375	2700.34375	1388.0625	30779.40625	2835.65625	3831.9375	13835.03125	56707.15625	10656.8125	2726.4375	2366.5625	4569.8125	853.1875
Dieunomia_heteropoda	Macronomia_clavisetis	Dieunomia_triangulifera	-148.58537735676074	1.0	0.49694334241624194	283318.734375	14494.703125	27037.578125	2703.953125	1395.28125	30783.015625	13838.640625	2733.65625	2839.265625	56710.765625	2373.78125	3839.15625	10664.03125	4577.03125	860.40625
Dieunomia_triangulifera	Dieunomia_heteropoda	Macronomia_clavisetis	1.8393336547551682	0.03293300405926758	0.9879935669920142	283307.25	27003.125	30748.5625	2804.8125	3770.25	14460.25	2669.5	1326.375	13804.1875	56676.3125	10595.125	2664.75	4508.125	2304.875	791.5
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_collaris	9.348713812011624	0.0	0.9442239003979997	282327.375	29622.375	13409.5625	3127.4375	1666.25	31994.25	2444.25	3148.0	14009.8125	58127.4375	10976.75	2499.75	2198.375	5007.5	748.875
Dieunomia_heteropoda	Lipotriches_collaris	Dieunomia_triangulifera	-148.0513227255491	1.0	0.5152171552509001	282338.390625	13442.609375	29655.421875	3160.484375	1732.34375	32027.296875	14042.859375	2565.84375	2477.296875	58160.484375	2264.46875	3214.09375	11042.84375	5073.59375	814.96875
Dieunomia_triangulifera	Dieunomia_heteropoda	Lipotriches_collaris	-8.796477427707472	1.0	1.0669845024419837	282327.375	29622.375	31994.25	2444.25	3148.0	13409.5625	3127.4375	1666.25	14009.8125	58127.4375	10976.75	2499.75	5007.5	2198.375	748.875
Dieunomia_heteropoda	Dieunomia_triangulifera	Lipotriches_justiciae	12.98739065990346	0.0	0.9293691073600974	280953.875	39482.0625	14185.75	3142.5625	1517.75	33662.8125	2213.625	2603.375	14436.6875	59524.875	12182.5	2446.625	2260.625	5166.125	709.75
Dieunomia_heteropoda	Lipotriches_justiciae	Dieunomia_triangulifera	-156.91205897780185	1.0	0.5197501827121123	280965.484375	14220.578125	39516.890625	3177.390625	1587.40625	33697.640625	14471.515625	2516.28125	2248.453125	59559.703125	2330.28125	2673.03125	12252.15625	5235.78125	779.40625
Dieunomia_triangulifera	Dieunomia_heteropoda	Lipotriches_justiciae	-12.000365173358327	1.0	1.089620906520022	280953.875	39482.0625	33662.8125	2213.625	2603.375	14185.75	3142.5625	1517.75	14436.6875	59524.875	12182.5	2446.625	5166.125	2260.625	709.75
Dieunomia_heteropoda	Dieunomia_triangulifera	Hoplonomia_elliotii	11.447324068089474	0.0	0.9366624394306481	271937.4375	41141.25	13122.1875	3209.875	2135.5	32208.375	2373.3125	3143.625	14744.75	56075.4375	12658.125	2814.0	2186.625	4826.875	827.625
Dieunomia_heteropoda	Hoplonomia_elliotii	Dieunomia_triangulifera	-156.90138937631298	1.0	0.5174966862831731	271948.84375	13156.40625	41175.46875	3244.09375	2203.9375	32242.59375	14778.96875	2882.4375	2407.53125	56109.65625	2255.0625	3212.0625	12726.5625	4895.3125	896.0625
Dieunomia_triangulifera	Dieunomia_heteropoda	Hoplonomia_elliotii	-10.673250558789436	1.0	1.0781957434875826	271937.4375	41141.25	32208.375	2373.3125	3143.625	13122.1875	3209.875	2135.5	14744.75	56075.4375	12658.125	2814.0	4826.875	2186.625	827.625
Dieunomia_heteropoda	Dieunomia_triangulifera	Curvinomia_chalybeata	14.545465286188442	0.0	0.9230014353926824	268289.375	34405.625	13091.6875	2893.6875	1501.375	31976.75	1908.0	2146.75	13723.6875	53749.4375	11424.625	2451.0	2064.5	4685.25	682.25
Dieunomia_heteropoda	Curvinomia_chalybeata	Dieunomia_triangulifera	-158.7202618569956	1.0	0.5217632496253425	268300.84375	13126.09375	34440.03125	2928.09375	1570.1875	32011.15625	13758.09375	2519.8125	1942.40625	53783.84375	2133.3125	2215.5625	11493.4375	4754.0625	751.0625
Dieunomia_triangulifera	Dieunomia_heteropoda	Curvinomia_chalybeata	-13.332054444518848	1.0	1.1001276117555188	268289.375	34405.625	31976.75	1908.0	2146.75	13091.6875	2893.6875	1501.375	13723.6875	53749.4375	11424.625	2451.0	4685.25	2064.5	682.25
Dieunomia_heteropoda	Dieunomia_triangulifera	Ruginomia_rugiventris	-19.30802161651415	1.0	1.304764857127227	127774.4375	136188.125	6655.625	3076.5625	5129.25	14709.625	5165.6875	10046.625	14109.6875	24207.875	24272.625	1834.875	1566.875	2305.0	1340.125
Dieunomia_heteropoda	Ruginomia_rugiventris	Dieunomia_triangulifera	-101.84860394056845	1.0	0.44771207068084123	127778.046875	6666.453125	136198.953125	3087.390625	5150.90625	14720.453125	14120.515625	1856.53125	5176.515625	24218.703125	1588.53125	10068.28125	24294.28125	2326.65625	1361.78125
Dieunomia_triangulifera	Dieunomia_heteropoda	Ruginomia_rugiventris	23.755066025635823	0.0	0.8407952142353636	127782.46875	136212.21875	14733.71875	5189.78125	10094.8125	6679.71875	3100.65625	5177.4375	14133.78125	24231.96875	24320.8125	1883.0625	2353.1875	1615.0625	1388.3125
Dieunomia_heteropoda	Dieunomia_triangulifera	Pachynomia_tshibindica	12.41183760579079	0.0	0.9334776180964607	276392.875	41024.0625	13890.625	3179.8125	1851.375	32797.75	2282.6875	2853.375	14871.625	57769.3125	12895.875	2790.375	2198.0	5072.25	813.0
Dieunomia_heteropoda	Pachynomia_tshibindica	Dieunomia_triangulifera	-160.73874297082585	1.0	0.5184739968905409	276404.734375	13926.203125	41059.640625	3215.390625	1922.53125	32833.328125	14907.203125	2861.53125	2318.265625	57804.890625	2269.15625	2924.53125	12967.03125	5143.40625	884.15625
Dieunomia_triangulifera	Dieunomia_heteropoda	Pachynomia_tshibindica	-11.527333269178186	1.0	1.0831080103059954	276392.875	41024.0625	32797.75	2282.6875	2853.375	13890.625	3179.8125	1851.375	14871.625	57769.3125	12895.875	2790.375	5072.25	2198.0	813.0
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_siamensis	8.130124718545455	2.220446049250313e-16	0.9547691143073429	279081.1875	35899.25	13874.625	3097.9375	1734.0	31927.875	2500.4375	3242.0	15112.9375	57274.125	12771.0	2750.625	2257.625	4954.625	786.75
Dieunomia_heteropoda	Pseudapis_siamensis	Dieunomia_triangulifera	-162.46689263849316	1.0	0.5121307481473962	279093.0625	13910.25	35934.875	3133.5625	1805.25	31963.5	15148.5625	2821.875	2536.0625	57309.75	2328.875	3313.25	12842.25	5025.875	858.0
Dieunomia_triangulifera	Dieunomia_heteropoda	Pseudapis_siamensis	-7.744971139212974	0.9999999999999951	1.0523319465732428	279081.1875	35899.25	31927.875	2500.4375	3242.0	13874.625	3097.9375	1734.0	15112.9375	57274.125	12771.0	2750.625	4954.625	2257.625	786.75
Dieunomia_heteropoda	Dieunomia_triangulifera	Pseudapis_oxybeloides	12.042349036456079	0.0	0.9389460214709784	272985.5625	32928.625	13946.125	2766.4375	1195.0	31656.75	1955.3125	2167.0	14429.5625	54980.5	12133.0	2619.0	2121.5	4733.75	667.875
Dieunomia_heteropoda	Pseudapis_oxybeloides	Dieunomia_triangulifera	-171.96068647547057	1.0	0.516802262052108	272996.796875	13979.828125	32962.328125	2800.140625	1262.40625	31690.453125	14463.265625	2686.40625	1989.015625	55014.203125	2188.90625	2234.40625	12200.40625	4801.15625	735.28125
Dieunomia_triangulifera	Dieunomia_heteropoda	Pseudapis_oxybeloides	-11.259307942827569	1.0	1.0747442867674162	272985.5625	32928.625	31656.75	1955.3125	2167.0	13946.125	2766.4375	1195.0	14429.5625	54980.5	12133.0	2619.0	4733.75	2121.5	667.875
Dieunomia_heteropoda	Dieunomia_triangulifera	Pachynomia_flavicarpa	-15.942429066923184	1.0	1.177238357713236	165485.5	114818.5	8552.9375	3120.1875	4549.625	18090.75	4687.75	8540.0	15099.6875	32135.9375	23272.125	2167.625	1981.875	2852.125	1247.375
Dieunomia_heteropoda	Pachynomia_flavicarpa	Dieunomia_triangulifera	-121.83394857124118	1.0	0.464996385337029	165485.5	8552.9375	114818.5	3120.1875	4549.625	18090.75	15099.6875	2167.625	4687.75	32135.9375	1981.875	8540.0	23272.125	2852.125	1247.375
Dieunomia_triangulifera	Dieunomia_heteropoda	Pachynomia_flavicarpa	18.342631139229017	0.0	0.8842876453843777	165485.5	114818.5	18090.75	4687.75	8540.0	8552.9375	3120.1875	4549.625	15099.6875	32135.9375	23272.125	2167.625	2852.125	1981.875	1247.375
Dieunomia_heteropoda	Dieunomia_triangulifera	Stictonomia_aliceae	1.9585524177924185	0.025082544308191457	0.987829859019159	268259.28125	40318.71875	13789.71875	2852.21875	1634.0625	31139.65625	2707.03125	3609.8125	14491.65625	54733.65625	13162.1875	2638.6875	2333.8125	4624.9375	850.5625
