P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dufourea_novaeangliae	Dieunomia_heteropoda	Curvinomia_chalybeata	4.9279297166124	4.1613961299091784e-07	0.05686676805647221	247638.0	28220.1875	36526.125	13295.6875	5647.0	30337.8125	5078.875	4535.875	5574.3125	31435.75	4841.75	5597.25	5653.25	10564.75	2232.375
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_siamensis	5.233763098987816	8.320999667077444e-08	0.057176218615333015	257251.375	29423.8125	37036.0	14762.0625	6767.5	32308.4375	5627.75	4740.625	6181.6875	33099.375	5694.25	6086.0	6059.75	11343.5	2443.875
Dufourea_novaeangliae	Dieunomia_heteropoda	Pachynomia_flavicarpa	5.272226935455696	6.752627801365207e-08	0.10158665407076607	153651.125	103109.0625	22532.0	11858.1875	14502.875	18558.6875	6627.625	10865.25	7219.0625	18264.5	11814.5	5116.125	4873.5	7076.0	3531.5
Dufourea_novaeangliae	Dieunomia_heteropoda	Nomiapis_diversipes	5.091696958467948	1.7774291483085847e-07	0.0558611879650017	259236.75	31465.875	37836.875	14928.375	6998.625	32778.9375	5736.0625	5169.625	6279.9375	33612.9375	5883.25	6231.0	6128.875	11556.5	2543.375
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_riftensis	4.692691867902056	1.349717895560154e-06	0.05536780359987494	231781.5	34103.6875	31620.6875	12864.125	6837.75	27654.9375	4932.875	4700.75	5397.75	28543.9375	5231.375	5093.875	4862.75	9741.25	2176.75
Dufourea_novaeangliae	Dieunomia_heteropoda	Acunomia_melanderi	6.082226387805916	5.948701531366396e-10	0.056490278812917766	278277.984375	10736.265625	39874.265625	14894.453125	4570.03125	34826.828125	4846.015625	3249.90625	5447.640625	36298.703125	3442.40625	5977.78125	5946.03125	12070.78125	2011.90625
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_kenyensis	6.888597144830059	2.834510404170487e-12	0.09706315808164206	172439.4375	71844.375	22150.5625	11379.875	11659.0	19558.875	5023.3125	7338.0	5706.625	19352.3125	8383.25	4195.5	4172.125	6917.25	2624.5
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_nilotica	5.708354913803223	5.720227069794248e-09	0.12465834519416069	131635.328125	104861.734375	18519.171875	10628.796875	15524.21875	13562.546875	6285.296875	11066.34375	6903.859375	13613.484375	12034.84375	4442.34375	4222.71875	5531.84375	3518.46875
Dufourea_novaeangliae	Dieunomia_triangulifera	Austronomia_australica	5.19297395285807	1.036767864892596e-07	0.046980777380551356	291113.375	37576.1875	22682.625	16347.0625	5247.25	37695.1875	5384.125	5258.625	5924.5625	39880.875	5889.75	4813.0	4639.25	13471.5	2293.625
Dufourea_novaeangliae	Dieunomia_triangulifera	Macronomia_clavisetis	4.7017221168367715	1.2913805811365364e-06	0.042096867590984084	299260.1875	26006.3125	22802.8125	16173.4375	4478.25	37537.6875	5214.1875	4774.875	5695.8125	39273.1875	5306.75	4651.0	4546.625	13231.75	2063.125
Dufourea_novaeangliae	Dieunomia_triangulifera	Curvinomia_chalybeata	6.5085639503569475	3.8124170487208175e-11	0.05990807091672139	282231.5	31458.4375	20739.6875	15316.75	5033.375	35260.125	5026.5625	4861.375	5682.3125	37052.875	5442.875	4473.625	4435.625	12381.0	2136.875
Dufourea_novaeangliae	Dieunomia_triangulifera	Pseudapis_siamensis	6.386465856806734	8.527234474087209e-11	0.05754748910606253	296233.75	33366.125	22618.25	16771.0	5317.125	38112.375	5632.625	5189.875	6312.75	39908.875	6335.5	4992.375	4875.75	13449.25	2408.375
Dufourea_novaeangliae	Dieunomia_triangulifera	Pseudapis_oxybeloides	4.696038085165741	1.3278116223203185e-06	0.04567787412326257	288100.0	29220.375	22176.125	15639.25	4698.25	36179.75	5417.625	4955.25	5906.875	38158.5	5801.25	4742.75	4609.25	12754.5	2225.25
Dufourea_novaeangliae	Dieunomia_triangulifera	Pachynomia_flavicarpa	6.971204585740022	1.581179631671148e-12	0.17841684293098378	167231.84375	119404.96875	14355.53125	10937.46875	11831.4375	20325.15625	7271.71875	12483.5625	8067.78125	20144.84375	13870.8125	4686.6875	4504.8125	7429.4375	3581.9375
Dufourea_novaeangliae	Dieunomia_triangulifera	Pseudapis_flavolobata	4.67009927513661	1.5069595153960336e-06	0.06893867460500766	217092.9375	72858.8125	16656.25	12756.5	8590.5	26368.125	5953.875	8444.25	6457.5625	26812.5625	9147.625	4233.125	4129.125	9333.125	2685.625
Dufourea_novaeangliae	Dieunomia_triangulifera	Nomiapis_bispinosa	5.578020110217517	1.2195509935253313e-08	0.04669988170900415	302742.1875	28698.75	22758.4375	17281.875	5218.0	39418.875	5394.9375	4834.5	5977.25	41531.5625	5433.5	4967.0	4889.375	14053.75	2266.0
