P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Dufourea_novaeangliae	Dieunomia_heteropoda	Dieunomia_triangulifera	-99999.9	1.0	-0.003722281352722911	277724.6875	14095.125	31840.625	23857.9375	3692.875	39328.375	2521.6875	2152.125	2442.5625	41521.125	2043.0	3610.25	3673.375	18015.125	1104.125
Dufourea_novaeangliae	Dieunomia_triangulifera	Dieunomia_heteropoda	1.125013480343795	0.13029171192848676	0.0036811742538788994	277724.6875	31840.625	14095.125	23857.9375	3692.875	39328.375	2442.5625	3610.25	2521.6875	41521.125	3673.375	2152.125	2043.0	18015.125	1104.125
Dieunomia_heteropoda	Dufourea_novaeangliae	Dieunomia_triangulifera	-301.51793165267424	1.0	0.5009254034203378	277734.84375	14125.59375	39358.84375	2552.15625	2213.0625	31871.09375	23888.40625	3753.8125	2473.03125	41551.59375	2103.9375	3671.1875	18076.0625	3734.3125	1165.0625
Dufourea_novaeangliae	Dieunomia_heteropoda	Austronomia_australica	3.613102867880858	0.00015131351957686778	0.0420695884770781	252287.5625	33450.125	37839.125	13982.6875	6007.75	31873.0625	5432.5	4840.75	5808.0	33041.5625	5256.75	5920.0	5905.0	11186.375	2311.75
Dufourea_novaeangliae	Austronomia_australica	Dieunomia_heteropoda	-99999.9	1.0	-0.04814604085361456	252287.5625	37839.125	33450.125	13982.6875	6007.75	31873.0625	5808.0	5920.0	5432.5	33041.5625	5905.0	4840.75	5256.75	11186.375	2311.75
Dieunomia_heteropoda	Dufourea_novaeangliae	Austronomia_australica	-78.65775459462	1.0	0.48877420608524724	252287.5625	33450.125	31873.0625	5432.5	4840.75	37839.125	13982.6875	6007.75	5808.0	33041.5625	5256.75	5920.0	11186.375	5905.0	2311.75
Dufourea_novaeangliae	Dieunomia_heteropoda	Macronomia_clavisetis	4.479565695259585	3.7431146753252875e-06	0.04355449316863639	262198.375	20844.5625	35504.0	14852.0625	6868.25	32006.3125	4999.0	4311.5	5447.6875	32995.0	4503.625	5668.875	5459.625	11226.0	2208.125
Dufourea_novaeangliae	Macronomia_clavisetis	Dieunomia_heteropoda	-99999.9	1.0	-0.050100843737569005	262198.375	35504.0	20844.5625	14852.0625	6868.25	32006.3125	5447.6875	5668.875	4999.0	32995.0	5459.625	4311.5	4503.625	11226.0	2208.125
Dieunomia_heteropoda	Dufourea_novaeangliae	Macronomia_clavisetis	-93.62563998533427	1.0	0.4883502802488649	262208.28125	20874.28125	32036.03125	5028.71875	4370.9375	35533.71875	14881.78125	6927.6875	5477.40625	33024.71875	4563.0625	5728.3125	11285.4375	5519.0625	2267.5625
Dufourea_novaeangliae	Dieunomia_heteropoda	Lipotriches_collaris	2.4399432439197692	0.0073447868239755465	0.02596359054794168	259655.5	24219.4375	36784.0	14831.8125	6634.25	32498.5625	5361.5	4389.25	5613.9375	33844.75	4617.875	5825.75	5945.5	11467.125	2308.75
Dufourea_novaeangliae	Lipotriches_collaris	Dieunomia_heteropoda	-99999.9	1.0	-0.02815674081716592	259655.5	36784.0	24219.4375	14831.8125	6634.25	32498.5625	5613.9375	5825.75	5361.5	33844.75	5945.5	4389.25	4617.875	11467.125	2308.75
Dieunomia_heteropoda	Dufourea_novaeangliae	Lipotriches_collaris	-89.09568439533331	1.0	0.49324606787041275	259655.5	24219.4375	32498.5625	5361.5	4389.25	36784.0	14831.8125	6634.25	5613.9375	33844.75	4617.875	5825.75	11467.125	5945.5	2308.75
Dufourea_novaeangliae	Dieunomia_heteropoda	Lipotriches_justiciae	-99999.9	1.0	-0.013516014234875445	259325.0	32258.3125	38424.625	14839.1875	6681.125	32408.3125	5939.25	5366.625	5820.5625	34880.75	4975.375	6100.75	6232.875	11716.25	2414.0
Dufourea_novaeangliae	Lipotriches_justiciae	Dieunomia_heteropoda	1.1014973752089317	0.13534016781311042	0.012989322626319282	259325.0	38424.625	32258.3125	14839.1875	6681.125	32408.3125	5820.5625	6100.75	5939.25	34880.75	6232.875	5366.625	4975.375	11716.25	2414.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Lipotriches_justiciae	-82.59722208129325	1.0	0.503311858861446	259325.0	32258.3125	32408.3125	5939.25	5366.625	38424.625	14839.1875	6681.125	5820.5625	34880.75	4975.375	6100.75	11716.25	6232.875	2414.0
Dufourea_novaeangliae	Dieunomia_heteropoda	Hoplonomia_elliotii	3.4810462880997464	0.0002497752734393899	0.04129032258064516	250720.8125	34809.0625	37355.6875	14063.8125	6814.625	30866.375	5565.75	5370.75	5931.75	32765.625	5440.0	5832.125	5903.375	11113.625	2477.625
Dufourea_novaeangliae	Hoplonomia_elliotii	Dieunomia_heteropoda	-99999.9	1.0	-0.04712812960235641	250720.8125	37355.6875	34809.0625	14063.8125	6814.625	30866.375	5931.75	5832.125	5565.75	32765.625	5903.375	5370.75	5440.0	11113.625	2477.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Hoplonomia_elliotii	-77.34449721371617	1.0	0.4889958734525447	250720.8125	34809.0625	30866.375	5565.75	5370.75	37355.6875	14063.8125	6814.625	5931.75	32765.625	5440.0	5832.125	11113.625	5903.375	2477.625
Dufourea_novaeangliae	Dieunomia_heteropoda	Curvinomia_chalybeata	4.9279297166124	4.1613961299091784e-07	0.05686676805647221	247638.0	28220.1875	36526.125	13295.6875	5647.0	30337.8125	5078.875	4535.875	5574.3125	31435.75	4841.75	5597.25	5653.25	10564.75	2232.375
Dufourea_novaeangliae	Curvinomia_chalybeata	Dieunomia_heteropoda	-99999.9	1.0	-0.06856376767720451	247638.0	36526.125	28220.1875	13295.6875	5647.0	30337.8125	5574.3125	5597.25	5078.875	31435.75	5653.25	4535.875	4841.75	10564.75	2232.375
Dieunomia_heteropoda	Dufourea_novaeangliae	Curvinomia_chalybeata	-76.80160124255447	1.0	0.48445753320445	247638.0	28220.1875	30337.8125	5078.875	4535.875	36526.125	13295.6875	5647.0	5574.3125	31435.75	4841.75	5597.25	10564.75	5653.25	2232.375
Dufourea_novaeangliae	Dieunomia_heteropoda	Ruginomia_rugiventris	-99999.9	1.0	-0.13894625829415125	120866.8125	121950.25	18713.125	10580.9375	16575.375	12404.25	7341.0625	13100.375	6945.8125	14212.625	12277.5	4498.5	4570.125	5296.875	3707.375
Dufourea_novaeangliae	Ruginomia_rugiventris	Dieunomia_heteropoda	3.4687436725455503	0.0002614956346698172	0.09806779766150792	120866.8125	18713.125	121950.25	10580.9375	16575.375	12404.25	6945.8125	4498.5	7341.0625	14212.625	4570.125	13100.375	12277.5	5296.875	3707.375
Dieunomia_heteropoda	Dufourea_novaeangliae	Ruginomia_rugiventris	-28.433386226662893	1.0	0.5287454545454545	120866.8125	121950.25	12404.25	7341.0625	13100.375	18713.125	10580.9375	16575.375	6945.8125	14212.625	12277.5	4498.5	5296.875	4570.125	3707.375
Dufourea_novaeangliae	Dieunomia_heteropoda	Pachynomia_tshibindica	0.9761066243806824	0.1645058150257388	0.012234245795153883	255092.375	33468.0	37737.6875	14485.3125	6745.125	31624.4375	5922.0625	5703.125	6028.125	33540.5	5563.0	6094.125	6086.875	11379.375	2530.875
Dufourea_novaeangliae	Pachynomia_tshibindica	Dieunomia_heteropoda	-99999.9	1.0	-0.012700384678710952	255092.375	37737.6875	33468.0	14485.3125	6745.125	31624.4375	6028.125	6094.125	5922.0625	33540.5	6086.875	5703.125	5563.0	11379.375	2530.875
Dieunomia_heteropoda	Dufourea_novaeangliae	Pachynomia_tshibindica	-77.83256798943589	1.0	0.4968842604662777	255092.375	33468.0	31624.4375	5922.0625	5703.125	37737.6875	14485.3125	6745.125	6028.125	33540.5	5563.0	6094.125	11379.375	6086.875	2530.875
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_siamensis	5.233763098987816	8.320999667077444e-08	0.057176218615333015	257251.375	29423.8125	37036.0	14762.0625	6767.5	32308.4375	5627.75	4740.625	6181.6875	33099.375	5694.25	6086.0	6059.75	11343.5	2443.875
Dufourea_novaeangliae	Pseudapis_siamensis	Dieunomia_heteropoda	-99999.9	1.0	-0.06901411740887535	257251.375	37036.0	29423.8125	14762.0625	6767.5	32308.4375	6181.6875	6086.0	5627.75	33099.375	6059.75	4740.625	5694.25	11343.5	2443.875
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_siamensis	-81.06988613422567	1.0	0.48436502196270753	257251.375	29423.8125	32308.4375	5627.75	4740.625	37036.0	14762.0625	6767.5	6181.6875	33099.375	5694.25	6086.0	11343.5	6059.75	2443.875
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_oxybeloides	4.057225299484624	2.4842235729627404e-05	0.04899214906615972	252430.1875	26121.75	36247.25	13645.4375	5694.625	30838.75	5453.8125	4588.5	5875.8125	31789.875	5285.875	5841.0	5746.375	10767.5	2269.25
Dufourea_novaeangliae	Pseudapis_oxybeloides	Dieunomia_heteropoda	-99999.9	1.0	-0.05743352443816879	252430.1875	36247.25	26121.75	13645.4375	5694.625	30838.75	5875.8125	5841.0	5453.8125	31789.875	5746.375	4588.5	5285.875	10767.5	2269.25
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_oxybeloides	-74.69933440167816	1.0	0.4867804839846503	252430.1875	26121.75	30838.75	5453.8125	4588.5	36247.25	13645.4375	5694.625	5875.8125	31789.875	5285.875	5841.0	10767.5	5746.375	2269.25
Dufourea_novaeangliae	Dieunomia_heteropoda	Pachynomia_flavicarpa	5.272226935455696	6.752627801365207e-08	0.10158665407076607	153651.125	103109.0625	22532.0	11858.1875	14502.875	18558.6875	6627.625	10865.25	7219.0625	18264.5	11814.5	5116.125	4873.5	7076.0	3531.5
Dufourea_novaeangliae	Pachynomia_flavicarpa	Dieunomia_heteropoda	-99999.9	1.0	-0.1461173818383954	153637.8125	22492.0625	103069.125	11818.25	14423.0	18518.75	7179.125	5036.25	6587.6875	18224.5625	4793.625	10785.375	11734.625	6996.125	3451.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Pachynomia_flavicarpa	-41.38238477580668	1.0	0.4700376784979261	153647.96875	103099.59375	18549.21875	6618.15625	10846.3125	22522.53125	11848.71875	14483.9375	7209.59375	18255.03125	11795.5625	5097.1875	7057.0625	4854.5625	3512.5625
Dufourea_novaeangliae	Dieunomia_heteropoda	Stictonomia_aliceae	1.7693051308014662	0.03842143766146866	0.021429183079294402	248194.4375	32617.1875	35905.0	14222.375	7208.75	30271.5625	5651.5625	5541.0	5839.25	31876.75	5724.375	5798.25	5804.25	10878.125	2503.125
Dufourea_novaeangliae	Stictonomia_aliceae	Dieunomia_heteropoda	-99999.9	1.0	-0.022901461941476582	248194.4375	35905.0	32617.1875	14222.375	7208.75	30271.5625	5839.25	5798.25	5651.5625	31876.75	5804.25	5541.0	5724.375	10878.125	2503.125
Dieunomia_heteropoda	Dufourea_novaeangliae	Stictonomia_aliceae	-78.82315665933571	1.0	0.4944647814113978	248204.34375	32646.90625	30301.28125	5681.28125	5600.4375	35934.71875	14252.09375	7268.1875	5868.96875	31906.46875	5783.8125	5857.6875	10937.5625	5863.6875	2562.5625
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_flavolobata	3.6722943295942567	0.00012022351296825384	0.05233160621761658	199913.6875	62208.75	26710.625	12861.1875	10748.75	24139.75	5773.8125	7465.0	6165.1875	24309.125	8041.5	5036.5	4967.25	8707.25	2800.625
Dufourea_novaeangliae	Pseudapis_flavolobata	Dieunomia_heteropoda	-99999.9	1.0	-0.06207744314689613	199913.6875	26710.625	62208.75	12861.1875	10748.75	24139.75	6165.1875	5036.5	5773.8125	24309.125	4967.25	7465.0	8041.5	8707.25	2800.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_flavolobata	-62.82895645087987	1.0	0.4858026426764127	199913.6875	62208.75	24139.75	5773.8125	7465.0	26710.625	12861.1875	10748.75	6165.1875	24309.125	8041.5	5036.5	8707.25	4967.25	2800.625
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_interstitinervis	0.2691706449834766	0.3938992465454123	0.003199210767387781	264581.9375	20110.1875	38071.0625	14400.8125	5541.0	32183.8125	5559.8125	4449.0	5588.1875	34205.5625	4322.875	5976.75	5930.875	11449.875	2226.25
Dufourea_novaeangliae	Pseudapis_interstitinervis	Dieunomia_heteropoda	-99999.9	1.0	-0.0032302131656089025	264581.9375	38071.0625	20110.1875	14400.8125	5541.0	32183.8125	5588.1875	5976.75	5559.8125	34205.5625	5930.875	4449.0	4322.875	11449.875	2226.25
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_interstitinervis	-83.59823630828225	1.0	0.49919634069489977	264581.9375	20110.1875	32183.8125	5559.8125	4449.0	38071.0625	14400.8125	5541.0	5588.1875	34205.5625	4322.875	5976.75	11449.875	5930.875	2226.25
Dufourea_novaeangliae	Dieunomia_heteropoda	Nomiapis_bispinosa	4.026356582655816	2.8337656370114317e-05	0.04233788342107752	262251.0	25491.9375	37779.0	14936.4375	6225.375	33357.75	5443.3125	4434.25	5863.0	34443.0625	4828.75	6038.0	6098.125	11853.25	2320.75
Dufourea_novaeangliae	Nomiapis_bispinosa	Dieunomia_heteropoda	-99999.9	1.0	-0.04849776108623429	262251.0	37779.0	25491.9375	14936.4375	6225.375	33357.75	5863.0	6038.0	5443.3125	34443.0625	6098.125	4434.25	4828.75	11853.25	2320.75
Dieunomia_heteropoda	Dufourea_novaeangliae	Nomiapis_bispinosa	-87.04785061609202	1.0	0.4886977597495497	262251.0	25491.9375	33357.75	5443.3125	4434.25	37779.0	14936.4375	6225.375	5863.0	34443.0625	4828.75	6038.0	11853.25	6098.125	2320.75
Dufourea_novaeangliae	Dieunomia_heteropoda	Nomiapis_diversipes	5.091696958467948	1.7774291483085847e-07	0.0558611879650017	259236.75	31465.875	37836.875	14928.375	6998.625	32778.9375	5736.0625	5169.625	6279.9375	33612.9375	5883.25	6231.0	6128.875	11556.5	2543.375
Dufourea_novaeangliae	Nomiapis_diversipes	Dieunomia_heteropoda	-99999.9	1.0	-0.06710726211316156	259236.75	37836.875	31465.875	14928.375	6998.625	32778.9375	6279.9375	6231.0	5736.0625	33612.9375	6128.875	5169.625	5883.25	11556.5	2543.375
Dieunomia_heteropoda	Dufourea_novaeangliae	Nomiapis_diversipes	-80.76229654213004	1.0	0.4847575073917857	259246.90625	31496.34375	32809.40625	5766.53125	5230.5625	37867.34375	14958.84375	7059.5625	6310.40625	33643.40625	5944.1875	6291.9375	11617.4375	6189.8125	2604.3125
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_pandeana	0.2444435694323978	0.4034437031765312	0.002916082403744864	268094.25	22082.875	39149.875	14647.5	5601.25	32964.4375	5714.6875	4727.5	5740.8125	34979.5625	4612.5	6047.125	6162.875	11683.75	2336.0
Dufourea_novaeangliae	Pseudapis_pandeana	Dieunomia_heteropoda	-99999.9	1.0	-0.0029418181562260275	268094.25	39149.875	22082.875	14647.5	5601.25	32964.4375	5740.8125	6047.125	5714.6875	34979.5625	6162.875	4727.5	4612.5	11683.75	2336.0
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_pandeana	-83.3371285863701	1.0	0.4992677765632445	268094.25	22082.875	32964.4375	5714.6875	4727.5	39149.875	14647.5	5601.25	5740.8125	34979.5625	4612.5	6047.125	11683.75	6162.875	2336.0
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_riftensis	4.692691867902056	1.349717895560154e-06	0.05536780359987494	231781.5	34103.6875	31620.6875	12864.125	6837.75	27654.9375	4932.875	4700.75	5397.75	28543.9375	5231.375	5093.875	4862.75	9741.25	2176.75
Dufourea_novaeangliae	Pseudapis_riftensis	Dieunomia_heteropoda	-99999.9	1.0	-0.0663964864671856	231781.5	31620.6875	34103.6875	12864.125	6837.75	27654.9375	5397.75	5093.875	4932.875	28543.9375	4862.75	4700.75	5231.375	9741.25	2176.75
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_riftensis	-75.13859145594064	1.0	0.4849043277778229	231792.15625	34135.65625	27686.90625	4964.84375	4764.6875	31652.65625	12896.09375	6901.6875	5429.71875	28575.90625	5295.3125	5157.8125	9805.1875	4926.6875	2240.6875
Dufourea_novaeangliae	Dieunomia_heteropoda	Pseudapis_cinerea	2.3140971434894997	0.010331171501646419	0.026879336339634744	253100.375	32481.9375	36443.8125	14603.125	7240.0	31740.75	5688.0625	5227.375	5934.3125	33260.125	5526.25	5979.0	6057.375	11219.875	2561.625
Dufourea_novaeangliae	Pseudapis_cinerea	Dieunomia_heteropoda	-99999.9	1.0	-0.029236945407053967	253100.375	36443.8125	32481.9375	14603.125	7240.0	31740.75	5934.3125	5979.0	5688.0625	33260.125	6057.375	5227.375	5526.25	11219.875	2561.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Pseudapis_cinerea	-81.46385479673515	1.0	0.4929978460379183	253100.375	32481.9375	31740.75	5688.0625	5227.375	36443.8125	14603.125	7240.0	5934.3125	33260.125	5526.25	5979.0	11219.875	6057.375	2561.625
Dufourea_novaeangliae	Dieunomia_heteropoda	Acunomia_melanderi	6.082226387805916	5.948701531366396e-10	0.056490278812917766	278277.984375	10736.265625	39874.265625	14894.453125	4570.03125	34826.828125	4846.015625	3249.90625	5447.640625	36298.703125	3442.40625	5977.78125	5946.03125	12070.78125	2011.90625
Dufourea_novaeangliae	Acunomia_melanderi	Dieunomia_heteropoda	-99999.9	1.0	-0.06801721274987105	278272.4375	39857.625	10719.625	14877.8125	4536.75	34810.1875	5431.0	5944.5	4829.375	36282.0625	5912.75	3216.625	3409.125	12037.5	1978.625
Dieunomia_heteropoda	Dufourea_novaeangliae	Acunomia_melanderi	-95.65775363987463	1.0	0.4845699593490722	278272.4375	10719.625	34810.1875	4829.375	3216.625	39857.625	14877.8125	4536.75	5431.0	36282.0625	3409.125	5944.5	12037.5	5912.75	1978.625
Dufourea_novaeangliae	Dieunomia_heteropoda	Pachynomia_amoenula	-99999.9	1.0	-0.0033401260475849877	265085.75	24938.3125	38043.25	14956.0625	6366.375	33044.5625	5662.75	4806.875	5631.8125	35333.75	4512.125	6023.625	6103.75	11862.875	2368.125
Dufourea_novaeangliae	Pachynomia_amoenula	Dieunomia_heteropoda	0.2915841543437201	0.38530236335536616	0.003306988769599754	265085.75	38043.25	24938.3125	14956.0625	6366.375	33044.5625	5631.8125	6023.625	5662.75	35333.75	6103.75	4806.875	4512.125	11862.875	2368.125
