P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
A_1	B_1	C_1	-99999.9	1.0	-0.008333333333333333	46836.0	142.0	173.0	126.0	0.0	262.0	5.0	1.0	4.0	2435.0	4.0	1.0	3.0	8.0	0.0
A_1	C_1	B_1	0.33255187725309676	0.3697363549133019	0.008130081300813009	46836.0	173.0	142.0	126.0	0.0	262.0	4.0	1.0	5.0	2435.0	3.0	1.0	4.0	8.0	0.0
B_1	A_1	C_1	-40.23877714762466	1.0	0.5020576131687243	46836.0	142.0	262.0	5.0	1.0	173.0	126.0	0.0	4.0	2435.0	4.0	1.0	8.0	3.0	0.0
A_1	B_1	D_1	0.9877411685704781	0.16163971847644765	0.9990200881920627	46555.0	423.0	295.0	3.0	1.0	267.0	1.0	0.0	2040.0	372.0	31.0	11.0	1.0	0.0	0.0
A_1	D_1	B_1	-1006.0143801890346	1.0	0.5002453385672228	46555.0	295.0	423.0	3.0	1.0	267.0	2040.0	11.0	1.0	372.0	1.0	0.0	31.0	0.0	0.0
B_1	A_1	D_1	-0.9867723199500067	0.8381228616236807	1.000982800982801	46555.0	423.0	267.0	1.0	0.0	295.0	3.0	1.0	2040.0	372.0	31.0	11.0	0.0	1.0	0.0
A_1	C_1	D_1	0.0	0.49999999949999996	nan	46585.0	424.0	265.0	1.0	2.0	266.0	1.0	0.0	2040.0	372.0	31.0	12.0	1.0	0.0	0.0
A_1	D_1	C_1	-1407.0436754989382	1.0	0.5	46585.0	265.0	424.0	1.0	2.0	266.0	2040.0	12.0	1.0	372.0	1.0	0.0	31.0	0.0	0.0
C_1	A_1	D_1	0.0	0.49999999949999996	nan	46585.0	424.0	266.0	1.0	0.0	265.0	1.0	2.0	2040.0	372.0	31.0	12.0	0.0	1.0	0.0
B_1	C_1	D_1	-0.9868272122460783	0.8381363192504196	1.000926354793886	46676.0	422.0	146.0	1.0	1.0	175.0	3.0	0.0	2164.0	372.0	33.0	7.0	0.0	0.0	0.0
B_1	D_1	C_1	-1067.253630044161	1.0	0.49976873265494914	46676.0	146.0	422.0	1.0	1.0	175.0	2164.0	7.0	3.0	372.0	0.0	0.0	33.0	0.0	0.0
C_1	B_1	D_1	0.9877405183194204	0.16163987774669208	0.9990762124711317	46676.0	422.0	175.0	3.0	0.0	146.0	1.0	1.0	2164.0	372.0	33.0	7.0	0.0	0.0	0.0
